[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
[TEST DEBUG] Env_t: 150200 | Actions: [4, 4, 18, 4, 4, 4, 18, 18, 18, 4, 4, 4, 18, 4, 4, 12, 8, 8, 8, 8]
